,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
一蹶不振,yī jué bù zhèn,蹶：跌倒；振：振作。跌倒了再也爬不起来。比喻遭到失败；挫折；就再也不能振作起来。,可惜，到了这二十世纪的中叶，说什么也一蹶不振了。（梁斌《红旗谱》四十二）,连动式；作谓语、定语、补语；含贬义。,最大的打击,贬义,collapse after one setback（be in shambles; curl up; never be able to recover after a setback）,连动式,四字,古代,常用,一蹶不振,西汉 刘向《说苑 说丛》：“一噎之故，绝谷不食，一蹶之故，却足不行。”,“蹶”，不能读作“quē”。,“蹶”，不能写作“撅”、“橛”、“镢”；“振”，不能写作“震”。,见“一败涂地”。,一蹷不振,,关公走麦城,
呆若木鸡,dāi ruò mù jī,愣着不动；像只木头鸡。形容人痴或因惊恐而发愣的神态。,匪首侯殿坤，在得知这个噩耗之后，特别是知道了老妖道的落网后，当即呆若木鸡。（曲波《林海雪原》二八）,偏正式；作谓语、状语、补语；含贬义。,最愚蠢的鸡,贬义,stand like a log,偏正式,四字,古代,常用,呆若木鸡,先秦 庄周《庄子 达生》：“鸡虽有鸣者，已无变矣，望之似木鸡矣；其德全矣，异鸡无敢应者，反走矣。”,“呆”，不能读作“ái”。,“呆”，不能写作“待”。,呆若木鸡和“目瞪口呆”；都是从形体上来描绘吃惊发愣的样子；但形体的部位不同；吃惊的程度也有差别。呆若木鸡形容全身都像木鸡似地呆着；程度较重；“目瞪口呆”从眼睛不动、嘴不能说等面部表情来形容发愣的样子。,獃若木鶏,,,呆若木鸡
千山万水,qiān shān wàn shuǐ,形容山水很多。比喻路途艰险、遥远。,(1)千山万水并不能隔断真诚的友谊。(2)红军经过了千山万水，最后到达了延安。,联合式；作谓语；形容路途的艰难。,,中性,numerous mountains and rivers（a long and arduous journey）,联合式,四字,古代,常用,千山万水,唐 宋之问《至端州驿见杜审言沈佺期题壁慨然成咏》诗：“岂意南中歧路多，千山万水分乡县。”,“山”，不能读作“sān”。,“山”，不能写作“杉”。,,千山萬水,,,
一往情深,yì wǎng qíng shēn,对人或事物有深厚的感情；十分向往而不能克制。,礼平《晚霞消失的时候》第四章：“他对佛教已经一往情深，肯定会抱守着这些陈旧的信条去颐养天年的。”,偏正式；作谓语、宾语、定语、状语；含褒义。,走亲,褒义,be for gone in love with sb. or sth.,偏正式,四字,古代,常用,一往情深,南朝 宋 刘义庆《世说新语 任诞》：“桓子野每闻清歌。辄唤奈何！谢公闻之曰：'子野可谓一往有深情。'”,“一”，不能读作“yī”。,“情”，不能写作“晴”。,,,,,一往情深
哭哭啼啼,kū kū tí tí,不停的哭泣。,清·褚人获《隋唐演义》第五回：“哭哭啼啼道：‘不知小人家主何事触犯老爷，被老爷射死？’”,作谓语、状语；指哭泣。,,中性,weep and wail endlessly,联合式,四字,古代,常用,哭哭啼啼,清 曹雪芹《红楼梦》第六十七回：“这如今才好些，又这样哭哭啼啼，岂不是自己糟蹋了自己身子。”,,,,哭哭嗁嗁,AABB式,,
明争暗斗,míng zhēng àn dòu,表面上和暗地里都在进行争斗；形容内部钩心斗争；互相争斗的情况。,明明是一家人，然而没有一天不在明争暗斗。（巴金《家》三）,联合式；作谓语、宾语、定语；含贬义。,日夜奋战,贬义,fight overtly and covertly,联合式,四字,当代,常用,明争暗斗,冯玉祥《我的生活》：“于是两方明争暗斗，各不相让，一天利害一天，闹成所谓‘府院之争’。”,“斗”，不能读作“dǒu”。,“争”，不能写作“挣”。,见“钩心斗角”。,明爭暗鬥,,,
远走高飞,yuǎn zǒu gāo fēi,向远处走；向高处飞。多指摆脱困境；寻找光明的前途。,孙行者！好男子不可远走高飞！快向前与我交战三合。（明 吴承恩《西游记》第六十五回）,联合式；作谓语；含贬义。,冬天的燕子；银燕入云霄；骏马跑千里,贬义,travel far and wide,联合式,四字,古代,常用,远走高飞,南朝 宋 范晔《后汉书 卓茂传》：“汝独不欲修之，宁能高飞远走，不在人间邪？”,“走”，不能读作“tū”。,“高”，不能写作“膏”。,,遠走高飛,,卫星上天；坐火箭上月球,远走高飞
执迷不悟,zhí mí bù wù,坚持错误而不觉悟。,快叫田见秀跟众贼将前来投降，不要执迷不悟，自走绝路！（姚雪垠《李自成》第一卷第九章）,联合式；作谓语、定语；含贬义。,拿着谜条猜不着,贬义,refuse to realize one's error,联合式,四字,古代,常用,执迷不悟,《梁书 武帝纪上》：“若执迷不悟，距逆王师，大众一临，刑兹罔赫，所谓火烈高原，芝兰同泯。”,,“悟”，不能写作“误”。,见“死心塌地”。,執迷不悟,,拿着谜语猜不出,
喜闻乐见,xǐ wén lè jiàn,闻：听。喜欢听；乐意看。形容适合人们兴趣；很受欢迎。,这是一部很有教育意义、人民群众喜闻乐见的好小说。,联合式；作谓语、定语；含褒义。,爱听爱看,褒义,be delighted to hear and see,联合式,四字,古代,常用,喜闻乐见,明 王守仁《王文成公全书》：“仆诚喜闻而乐道，自顾何德以承之。”,“乐”，不能读作“yuè”。,“闻”，不能写作“文”。,喜闻乐见和“脍炙人口”都有“被人喜爱、受人们称赞”的意思；不同在于①“脍炙人口”含有“人们普遍传诵”的意思；“喜闻乐见”没有。②“脍炙人口”的前面可以加上“很”“十分”等词语；喜闻乐见不能；喜闻乐见往往用在“为……所”的后面；“脍炙人口”不能。③“脍炙人口”可形容肉菜受人喜爱；喜闻乐见不能。,喜聞樂見,,,
落花流水,luò huā liú shuǐ,指花残凋落；随流水漂去。原形容残败的暮春景色。常比喻好时光的流逝。后用来比喻残乱而零落的样子。或比喻敌人被打得惨败。也作“流水落花”。,他们打算在初十夜间分兵四路，趁月夜进袭敌营，出其不意，杀他个落花流水。,联合式；作补语；含贬义。,雨加雪；牡丹江上游；飘雪下雨,贬义,be shattered to pieces,联合式,四字,古代,常用,落花流水,唐 李群玉《奉和张舍人送秦炼师归岑公山》诗：“兰浦苍苍春欲暮，落花流水思离襟。”,“落”，不能读作“là”。,“花”，不能写作“华”。,落花流水和“丢盔弃甲”；都有“失败得很惨；被打得狼狈不堪”的意思。但落花流水有残乱而零落的样子；偏重指东西被抢或被吃的样子；“丢盔弃甲”只用来比喻失败后狼狈逃跑的样子。,落蘤流水,,,
定时炸弹,dìng shí zhà dàn,由计时器控制、能在预定时间自动引爆的炸弹。比喻潜伏的危机。,张平《抉择》：“无疑就是一个掉进你家里的有着超强杀伤力的定时炸弹。”,作主语、宾语、定语；用于不安定的因素。,,贬义,delayed action bomb（time bomb）,偏正式,四字,当代,常用,定时炸弹,邓小平《党在组织战线和思想战线上的迫切任务》：“他们是一股有野心的政治势力，不可小看，如果不在整党中解决，就会留下祸根，成为定时炸弹。”,,,,定時煠彈,,,
判若两人,pàn ruò liǎng rén,判：判断；评定；若：好像。评定一个人前后的表现；好像两个人一样；截然不同。,他与另三人作一献上之报告，毁左翼惟恐不至，和先前之激昂慷慨判若两人。(《鲁迅书信集 致郑振铎》),主谓式；作谓语；形容在不同场合的表现不同。,,中性,have become quite a bifferent person,动宾式,四字,近代,常用,判若两人,清 李宝嘉《文明小史》第五回：“须晓得柳知府于这交涉上头，本是何等通融、何等迁就，何以如今判若两人？”,,“判”，不能写作“叛”。,判若两人与“判若鸿沟”；都表示“判断”的意思。不同在于：判若两人形容差别悬殊好像不是一个人；“判若鸿沟”形容界限极清楚；区别明显。,判若兩人,,,
打情骂俏,dǎ qíng mà qiào,情：风情；俏：俏皮；风趣。指用轻佻的语言、动作勾引挑逗。多指男女间调情。,高兴起来，简直不分主仆，打情骂俏的搅做一团。（清 曾朴《孽海花》第三十五回）,联合式；作谓语、宾语、定语；指男女调情。,调情,中性,tease one's lover by showing false displeasure（flirt and make love）,联合式,四字,近代,常用,打情骂俏,清 李宝嘉《官场现形记》第29回：“齐巧这两天糖葫芦又没有去，王小四便打情骂俏起来。”,“俏”，不能读作“xiāo”、“qiāo”。,“俏”，不能写作“消”、“悄”。,,打情駡俏,,,
有利可图,yǒu lì kě tú,图：谋取。有利益可谋求。,茅盾《子夜》：“我们做公债的就此有利可图了。”,作谓语、定语；指人或事情。,一息堂存,中性,profitable,紧缩式,四字,近代,常用,有利可图,清·无名氏《官场维新记》第六回：“等到有利可图，可否即允照办。”,,,,有利可圖,,,
百感交集,bǎi gǎn jiāo jí,百：形容多；感：感想；情感；交集：指不同的感情同时发生。形容许多感情交织在一起。,我是上一个世纪出生的人，能参加这样的盛会，百感交集，思绪万千。（郭沫若《科学的春天》）,主谓式；作谓语、状语；用于有许多感想不知如何表达的场合。,大批表扬信,中性,All sorts of feelings well up in one's heart,主谓式,四字,古代,常用,百感交集,宋 陈亮《龙川集 祭喻夏卿文》：“泪涕横腮，非以邂逅。百感交集，微我有咎。”,“百”，不能读作“bái”。,“交”，不能写作“文”。,百感交集和“感慨万端”；都含有“不同的感情同时交织在一起”的意思。不同在于：百感交集指“各种感情；许多感慨”交织在一起；“感慨万端”指形容“感慨特别多”；不知从何说起。,,,,百感交集
人心惶惶,rén xīn huáng huáng,惶惶：惊惧不安的样子。人内心恐惧不安。形容人们心中惊恐不安。,无端起来胡闹，蒌喊一阵，西跑一阵，弄得人心惶惶，不是扰乱治安是什么？（哇圣陶《丁祭》）,主谓式；作谓语、定语、补语、分句；含贬义。,,贬义,People are nervous.,主谓式,四字,古代,常用,人心惶惶,宋 楼钥《攻愧集 雷雪应诏条具封事》：“乃者水旱连年，人心惶惶。”,“惶”，不能读作“huāng”。,“惶”，不能写作“慌”。,见“人人自危”。,,ABCC式,,
不偏不倚,bù piān bù yǐ,偏、倚：不正；歪。原指儒家的中庸之道。现指不偏袒任何一方。,只要办理得人，不偏不倚，合乎中庸，一以国粹为归宿，那是决无流弊的。（鲁迅《彷徨 高老夫子》）,联合式；作谓语、定语、状语；用于表示公正、中立。,正；正中间,中性,not leanin to the left or to the right,联合式,四字,古代,常用,不偏不倚,宋 朱熹《中庸集注》：“中者，不偏不倚，无过不及之名。”,“倚”，不能读作“qí”。,“倚”，不能写作“椅”。,,,ABAC式,,
避重就轻,bì zhòng jiù qīng,避重：指避开要紧的事；就轻：指抓小事情。避开重要的而拣次要的来承担。也指回避要害问题；只谈无关重要的方面。,年轻人应勇于挑重担，而不应避重就轻。,连动式；作谓语、定语、状语；指避开重大问题与责任。,丢了西瓜捡芝麻,中性,evade serious matters and take up trifles,连动式,四字,古代,常用,避重就轻,宋 刘挚《忠肃集 侍御史黄君墓志铭》：“民始不以多男为患，父子始不以避重就轻相去。”,“重”，不能读作“chóng”。,“避”，不能写作“僻”。,避重就轻和“避实就虚”；都有“回避要害问题”的意思；但“避实就虚”偏重于军事方面；避重就轻偏重在言论、责任等方面。,避重就輕,,甩西瓜拣芝麻,
